id,name,price,originalPrice,category,description,items,image
essential-basket-1,Essential Basket - Starter,1500,1800,essential,"Basic essentials for a small household","1kg Rice;500g Sugar;250ml Cooking Oil;1 Bread Loaf",/src/assets/essential-basket.jpg
essential-basket-2,Essential Basket - Plus,2800,3200,essential,"Larger essentials pack","3kg Rice;1kg Sugar;1L Cooking Oil;2 Bread Loaves",/src/assets/essential-basket.jpg
family-basket-1,Family Basket - Standard,5000,6200,family,"Full family grocery bundle","5kg Rice;2kg Sugar;1L Cooking Oil;2 Bread Loaves;2kg Flour",/src/assets/family-basket.jpg
family-basket-2,Premium Family Basket,10000,12500,family,"Premium family items","10kg Rice;5kg Sugar;2L Cooking Oil;4 Bread Loaves;5kg Flour",/src/assets/family-basket.jpg
mini-essential,Mini Essential,900,,essential,"Small pack for singles","500g Rice;250g Sugar;200ml Oil",/src/assets/essential-basket.jpg
rice-2kg,Parboiled Rice 2kg,700,850,essential,"Quality long-grain parboiled rice","",/src/assets/products/rice.jpg
sugar-1kg,White Sugar 1kg,200,250,essential,"Refined white sugar","",/src/assets/products/sugar.jpg
flour-1kg,Wheat Flour 1kg,180,220,essential,"Sifted wheat flour","",/src/assets/products/flour.jpg
oil-1l,Cooking Oil 1L,350,400,essential,"Pure cooking oil 1 litre","",/src/assets/products/oil.jpg
bread-loaf,Bread Loaf,120,,essential,"Freshly baked daily bread","",/src/assets/products/bread.jpg
back-to-school-basket,Back To School Basket,4200,5000,basket,"Starter pack for students","3kg Rice;1kg Sugar;1L Oil;Lunch Snacks",/src/assets/hero-family.jpg
holiday-basket,Holiday Feast Basket,8500,10200,holiday,"Generous holiday bundle","10kg Rice;3kg Sugar;2L Oil;3 Bread Loaves;4kg Flour",/src/assets/family-basket.jpg
beer-pack-6,Beer Pack (6),1200,1500,alcohol,"Value 6-pack beer","",/src/assets/placeholder.svg
red-wine-750,Red Wine 750ml,1500,1950,alcohol,"Smooth red wine","",/src/assets/placeholder.svg
whisky-700,Whisky 700ml,2800,3500,alcohol,"Premium whisky bottle","",/src/assets/placeholder.svg
black-friday-mega,Black Friday Mega Deal,7500,12000,blackfriday,"Top Black Friday bundle","10kg Rice;5kg Sugar;2L Oil;Electronics Item",/src/assets/family-basket.jpg
school-lunch-basket,School Lunch Basket,4200,5200,school,"Healthy school lunch items","2kg Rice;1kg Sugar;Lunch Snacks;Juice Boxes",/src/assets/essential-basket.jpg
student-essential,Student Essential Basket,3500,4500,school,"Budget pack for students","2kg Rice;1kg Sugar;Instant Noodles;Cooking Oil",/src/assets/essential-basket.jpg
holiday-special,Christmas Special Basket,9500,11500,holiday,"Festive Christmas bundle","5kg Rice;2kg Sugar;Christmas Cake Mix;Holiday Treats",/src/assets/family-basket.jpg
